,0,89,98,27,39,21,80,78,67,60,26,81,41,44,43,72,73,63,52,55,92,70,10,93,85,13,94,42,49,25,22,45,28,34,90,1,96,91,56,16,61,38,77,14,12,7,57,6,18,86,65,75,31,99,29,83,84,71,95,11,47,48,76,88,30,58,15,69,19,62,23,53,50,33,68,54,51,79,97,40,46,20,24,5,9,66,37,87,4,35,8,64,82,17,74,3,2,32,36,59
60,33.190,30.788,55.448,58.066,1.919,4.243,4.126,5.495,1.928,0,1.827,0.712,2.903,2.327,2.178,2.629,0.944,0.819,0.723,4.255,2.812,1.268,2.570,2.366,3.201,1.019,2.477,1.837,2.662,2.637,4.928,2.536,3.160,1.600,3.381,3.796,57.374,3.459,1.020,3.876,4.406,1.944,4.552,1.483,1.990,3.490,2.429,4.663,3.064,2.551,3.361,2.735,2.665,2.231,3.243,2.004,1.643,2.559,58.839,4.188,1.341,2.583,3.451,2.030,3.152,3.644,3.592,5.314,2.810,1.950,1.946,1.751,4.046,3.644,1.712,0.773,3.485,2.789,58.110,3.785,2.214,3.199,4.345,58.538,1.324,3.239,5.572,0.924,3.205,3.119,1.924,1.352,1.889,1.322,2.387,3.245,3.700,4.323,1.249,2.306
26,32.382,31.652,55.559,58.109,0.382,2.417,2.320,3.669,1.282,1.827,0,1.591,1.105,1.458,0.436,1.059,2.487,1.346,1.620,2.523,1.260,1.622,1.369,0.848,1.391,0.901,0.681,0.678,1.198,0.812,3.127,0.969,1.386,1.067,1.624,2.375,57.409,1.634,1.338,2.062,2.619,0.452,2.725,0.505,0.180,1.663,0.768,3.182,1.245,1.181,2.315,1.022,1.165,1.678,1.974,0.649,1.547,1.685,58.859,2.637,2.070,0.832,1.735,0.561,1.325,2.206,1.765,3.514,1.246,0.976,1.323,0.785,2.527,2.202,0.741,1.517,1.665,1.185,58.137,2.083,1.940,1.534,2.520,58.604,2.614,1.519,3.748,1.624,1.385,1.358,0.154,0.971,3.029,1.158,0.576,1.459,2.059,2.495,0.621,2.471
81,32.478,30.407,54.851,57.455,1.540,3.917,3.894,5.156,2.163,0.712,1.591,0,2.693,1.681,1.831,2.575,1.655,0.249,1.253,4.114,2.309,1.735,2.672,2.322,2.848,0.694,2.140,1.863,2.139,2.378,4.523,2.062,2.977,1.809,3.215,3.202,56.761,3.137,0.368,3.513,4.202,1.864,4.250,1.123,1.714,3.193,2.008,4.697,2.813,2.584,3.562,2.601,2.646,2.536,3.350,1.538,2.024,2.781,58.224,4.176,1.940,2.200,2.997,1.973,2.864,3.059,3.282,5.087,2.766,2.068,1.292,1.231,4.051,3.683,1.779,1.248,3.141,2.723,57.495,3.311,2.607,3.105,4.009,57.932,2.030,3.105,5.216,1.437,2.951,2.949,1.726,0.800,2.591,1.595,2.164,2.857,3.627,4.004,0.974,2.833
41,32.248,32.462,55.969,58.479,1.222,1.419,1.224,2.648,1.675,2.903,1.105,2.693,0,2.075,0.942,0.632,3.451,2.445,2.566,1.435,1.303,2.382,1.204,0.760,0.677,2.006,0.697,1.224,1.403,0.351,2.229,1.187,0.296,1.695,0.541,2.214,57.774,0.720,2.418,1.177,1.514,1.002,1.682,1.579,0.982,0.676,1.009,2.264,0.225,0.948,1.915,0.328,0.755,1.914,1.448,1.381,2.129,1.664,59.216,1.694,2.834,0.805,1.242,0.957,0.402,2.063,0.797,2.414,0.661,1.356,2.131,1.682,1.624,1.425,1.371,2.458,0.807,0.573,58.498,1.536,2.253,0.610,1.533,58.988,3.484,0.501,2.746,2.509,0.341,0.291,0.984,2.008,3.800,1.930,0.529,0.843,1.074,1.482,1.726,2.882
44,31.070,30.387,54.105,56.652,1.082,2.786,2.991,3.910,2.713,2.327,1.458,1.681,2.075,0,1.226,2.378,3.243,1.511,2.563,3.405,0.967,2.816,2.801,2.236,1.807,1.433,1.384,2.128,0.782,1.737,3.168,0.914,2.353,2.441,2.584,1.551,55.951,2.120,1.322,2.335,3.334,1.907,3.144,1.186,1.389,2.233,1.066,4.339,2.056,2.583,3.732,2.204,2.510,3.120,3.343,0.817,2.881,3.141,57.401,3.769,3.196,1.279,1.658,2.009,1.994,1.424,2.270,4.091,2.537,2.427,0.389,0.748,3.698,3.461,2.166,2.496,2.069,2.453,56.679,1.886,3.354,2.672,2.844,57.148,3.535,2.576,3.933,2.667,2.152,2.363,1.585,1.003,4.054,2.425,1.710,1.720,3.148,2.882,1.397,3.822
43,31.987,31.574,55.305,57.841,0.294,2.091,2.080,3.337,1.661,2.178,0.436,1.831,0.942,1.226,0,1.152,2.896,1.582,2.041,2.369,0.833,2.058,1.598,1.022,1.028,1.184,0.309,1.051,0.795,0.593,2.750,0.551,1.238,1.484,1.483,1.949,57.139,1.307,1.520,1.702,2.402,0.778,2.419,0.716,0.265,1.363,0.335,3.173,1.010,1.367,2.513,0.996,1.285,2.037,2.118,0.448,1.968,1.977,58.587,2.609,2.506,0.411,1.310,0.853,1.037,1.780,1.451,3.267,1.314,1.333,1.208,0.740,2.521,2.252,1.143,1.941,1.318,1.233,57.866,1.657,2.322,1.492,2.186,58.341,3.042,1.427,3.405,2.055,1.141,1.230,0.471,1.088,3.465,1.593,0.490,1.067,1.998,2.176,0.930,2.878
72,32.859,32.697,56.432,58.958,1.347,1.968,1.638,3.144,1.098,2.629,1.059,2.575,0.632,2.378,1.152,0,3.034,2.343,2.167,1.642,1.786,1.886,0.575,0.263,1.302,1.887,1.057,0.801,1.838,0.760,2.810,1.592,0.700,1.200,0.840,2.794,58.254,1.341,2.370,1.787,1.853,0.712,2.179,1.559,1.034,1.275,1.372,2.132,0.852,0.316,1.384,0.305,0.142,1.293,0.966,1.584,1.577,1.033,59.699,1.601,2.319,1.233,1.858,0.608,1.033,2.635,1.395,2.764,0.191,0.818,2.332,1.814,1.480,1.142,0.941,2.060,1.434,0.161,58.980,2.163,1.634,0.577,2.086,59.461,3.004,0.659,3.257,2.072,0.944,0.637,0.905,2.029,3.265,1.474,0.675,1.463,1.071,2.016,1.615,2.267
73,34.127,31.253,56.204,58.842,2.679,4.856,4.644,6.098,2.068,0.944,2.487,1.655,3.451,3.243,2.896,3.034,0,1.752,0.885,4.668,3.622,1.212,2.795,2.784,3.872,1.853,3.168,2.249,3.492,3.249,5.607,3.332,3.666,1.844,3.857,4.661,58.152,4.091,1.957,4.536,4.884,2.449,5.133,2.270,2.665,4.096,3.190,4.852,3.644,2.864,3.388,3.216,3.027,2.218,3.404,2.818,1.621,2.625,59.621,4.450,0.941,3.307,4.205,2.501,3.764,4.503,4.209,5.797,3.188,2.236,2.869,2.610,4.294,3.869,2.102,0.993,4.136,3.193,58.890,4.549,2.058,3.607,4.966,59.307,0.461,3.688,6.191,0.962,3.781,3.615,2.541,2.246,1.010,1.561,2.983,3.946,4.057,4.926,2.015,1.881
63,32.419,30.573,54.924,57.518,1.292,3.670,3.645,4.910,1.995,0.819,1.346,0.249,2.445,1.511,1.582,2.343,1.752,0,1.223,3.869,2.081,1.655,2.466,2.093,2.601,0.456,1.891,1.652,1.915,2.129,4.282,1.827,2.731,1.642,2.970,3.006,56.823,2.888,0.207,3.267,3.954,1.634,4.001,0.874,1.466,2.944,1.765,4.469,2.565,2.365,3.370,2.359,2.419,2.381,3.140,1.299,1.903,2.601,58.284,3.944,1.912,1.954,2.761,1.745,2.614,2.858,3.033,4.838,2.534,1.873,1.127,1.000,3.821,3.460,1.578,1.196,2.894,2.488,57.556,3.079,2.479,2.865,3.762,57.998,2.090,2.862,4.971,1.387,2.702,2.703,1.483,0.573,2.640,1.454,1.917,2.613,3.389,3.756,0.733,2.755
52,33.603,31.511,56.102,58.708,1.847,3.972,3.764,5.213,1.289,0.723,1.620,1.253,2.566,2.563,2.041,2.167,0.885,1.223,0,3.808,2.804,0.546,1.988,1.913,2.996,1.130,2.300,1.373,2.691,2.366,4.728,2.510,2.785,1.007,2.981,3.880,58.015,3.209,1.421,3.655,4.010,1.564,4.248,1.471,1.799,3.212,2.349,4.080,2.759,2.023,2.699,2.337,2.172,1.542,2.635,2.020,0.938,1.902,59.477,3.641,0.690,2.448,3.351,1.619,2.881,3.716,3.325,4.924,2.329,1.394,2.222,1.862,3.491,3.073,1.228,0.109,3.256,2.328,58.749,3.698,1.496,2.743,4.082,59.185,1.010,2.816,5.306,0.202,2.896,2.735,1.663,1.569,1.494,0.714,2.100,3.076,3.211,4.041,1.218,1.600
55,32.463,33.727,56.818,59.283,2.655,1.140,0.570,1.805,2.651,4.255,2.523,4.114,1.435,3.405,2.369,1.642,4.668,3.869,3.808,0,2.491,3.492,1.937,1.901,1.624,3.422,2.095,2.443,2.649,1.777,1.870,2.491,1.142,2.825,0.900,3.006,58.573,1.338,3.851,1.403,0.401,2.312,1.044,3.010,2.414,1.205,2.369,1.193,1.372,1.812,1.967,1.525,1.641,2.689,1.574,2.795,3.139,2.288,60.004,0.765,3.902,2.143,2.028,2.226,1.411,2.905,1.212,1.175,1.480,2.433,3.523,3.108,0.859,1.121,2.584,3.701,1.426,1.481,59.292,2.110,3.009,1.066,1.217,59.805,4.606,1.018,1.952,3.706,1.259,1.166,2.389,3.443,4.804,3.108,1.956,1.754,0.646,1.099,3.141,3.617
